市町村コード,都道府県名及び市町村名,NO,施設・場所名,住所,洪水,崖崩、土石流及び地滑,高潮,地震,津波,大規模火災,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
14100,神奈川県横浜市,1754,横浜市立新治小学校　校舎２３,神奈川県横浜市緑区新治町768,1,,,1,,,,,1,35.51808999,139.520625,
14100,神奈川県横浜市,1755,横浜市立新治小学校　校舎２２,神奈川県横浜市緑区新治町768,1,1,,1,,,,,1,35.5179983,139.5197023,
14100,神奈川県横浜市,1756,横浜市立新治小学校　校舎１５,神奈川県横浜市緑区新治町768,1,,,1,,,,,1,35.51757041,139.5199276,
14100,神奈川県横浜市,1757,横浜市立森の台小学校　校舎２５,神奈川県横浜市緑区森の台13-1,1,1,,1,,,,,1,35.50853539,139.5353502,
14100,神奈川県横浜市,1758,横浜市立森の台小学校　体育館２８,神奈川県横浜市緑区森の台13-1,1,1,,1,,,,,1,35.5089808,139.5359939,
14100,神奈川県横浜市,1759,横浜市立森の台小学校　校舎２６,神奈川県横浜市緑区森の台13-1,1,1,,1,,,,,1,35.50877556,139.5358169,
14100,神奈川県横浜市,1760,横浜市立竹山小学校　体育館４－２,神奈川県横浜市緑区竹山3-1-16,1,1,,1,,1,,,1,35.4956012,139.5607498,
14100,神奈川県横浜市,1761,横浜市立竹山小学校　校舎１,神奈川県横浜市緑区竹山3-1-16,1,,,1,,1,,,1,35.49614714,139.5607605,
14100,神奈川県横浜市,1762,横浜市立竹山小学校　校舎６,神奈川県横浜市緑区竹山3-1-16,1,1,,1,,1,,,1,35.49602048,139.561238,
14100,神奈川県横浜市,1763,横浜市立中山小学校　校舎７,神奈川県横浜市緑区中山町925,1,1,,1,,,,,1,35.51102594,139.5483834,
14100,神奈川県横浜市,1764,横浜市立中山小学校　校舎４,神奈川県横浜市緑区中山町925,1,1,,1,,,,,1,35.51068534,139.5485229,
14100,神奈川県横浜市,1765,横浜市立中山小学校　体育館２,神奈川県横浜市緑区中山町925,1,1,,1,,,,,1,35.51076394,139.548024,
14100,神奈川県横浜市,1766,横浜市立田奈中学校　校舎１２,神奈川県横浜市緑区長津田2-24-1,1,1,,1,,,,,1,35.53451902,139.4984545,
14100,神奈川県横浜市,1767,横浜市立田奈中学校　校舎１０,神奈川県横浜市緑区長津田2-24-1,1,1,,1,,,,,1,35.53473729,139.4979556,
14100,神奈川県横浜市,1768,横浜市立田奈中学校　校舎５,神奈川県横浜市緑区長津田2-24-1,1,1,,1,,,,,1,35.53463252,139.4975104,
14100,神奈川県横浜市,1769,横浜市立田奈中学校　体育館２３,神奈川県横浜市緑区長津田2-24-1,1,1,,1,,,,,1,35.53406939,139.4992377,
14100,神奈川県横浜市,1770,横浜市立田奈中学校　校舎１３,神奈川県横浜市緑区長津田2-24-1,1,1,,1,,,,,1,35.53427456,139.4991519,
14100,神奈川県横浜市,1771,横浜市立長津田小学校　校舎１４,神奈川県横浜市緑区長津田町2330,1,1,,1,,1,,,1,35.53017222,139.4911609,
